task_id,category,oracle,restricted,full,no_plan,no_verify
crypto4_kdf_migration,Security,0.2,0.067,0.2,0.2,0.2
dist1_queue_race,Distributed,0.444,0.361,0.444,0.417,0.417
dist2_consensus_partition,Distributed,0.417,0.417,0.444,0.417,0.417
dist3_idempotency,Distributed,0.528,0.667,0.417,0.722,0.806
dist4_clock_skew,Distributed,0.917,0.944,0.972,0.833,0.722
trap1_spec_conflict,Adversarial,0.933,0.933,0.933,0.933,0.933
trap2_false_fix,Adversarial,1.0,0.917,1.0,1.0,0.792
trap3_metric_mirage,Adversarial,0.867,1.0,1.0,1.0,1.0
trap4_version_paradox,Adversarial,0.553,0.303,0.527,0.553,0.303
trap5_security_theater,Adversarial,0.62,0.237,0.597,0.953,0.903
