category_a,category_b,pearson_r,cat_a_uplift,cat_b_uplift,cat_a_archetype,cat_b_archetype,cat_a_cluster,cat_b_cluster
ML,Code Review,,0.5462,0.0562,relay,relay,team-moderate,team-neutral
ML,Testing,,0.5462,0.0501,relay,open_ended,team-moderate,team-neutral
ML,Long-Horizon,,0.5462,0.0467,relay,synthesis,team-moderate,team-neutral
ML,Specification,,0.5462,0.0307,relay,synthesis,team-moderate,team-neutral
ML,Information Retrieval,,0.5462,0.0087,relay,discovery,team-moderate,team-neutral
ML,Operations,,0.5462,0.0011,relay,relay,team-moderate,team-neutral
ML,Adversarial,,0.5462,-0.0016,relay,adversarial,team-moderate,team-neutral
ML,Negotiation,,0.5462,-0.0232,relay,open_ended,team-moderate,team-neutral
ML,Security,,0.5462,-0.0286,relay,adversarial,team-moderate,team-neutral
ML,Cross-System,,0.5462,-0.0543,relay,adversarial,team-moderate,team-neutral
ML,Pipeline,,0.5462,-0.0658,relay,relay,team-moderate,team-neutral
ML,Incident Response,,0.5462,-0.0796,relay,discovery,team-moderate,team-neutral
ML,Data Engineering,,0.5462,-0.0928,relay,relay,team-moderate,team-neutral
ML,Software Eng.,,0.5462,-0.1203,relay,relay,team-moderate,team-neutral
ML,Integration,,0.5462,-0.3000,relay,relay,team-moderate,team-negative
ML,DB,,0.5462,-0.5000,relay,relay,team-moderate,team-negative
ML,DEVOPS,,0.5462,-0.7500,relay,relay,team-moderate,team-negative
ML,API,,0.5462,-1.0000,relay,relay,team-moderate,team-negative
Policy,DS,,0.1105,0.7267,open_ended,relay,team-neutral,team-positive
Policy,ML,,0.1105,0.5462,open_ended,relay,team-neutral,team-moderate
Policy,Policy,1.0000,0.1105,0.1105,open_ended,open_ended,team-neutral,team-neutral
Policy,GH,-0.9861,0.1105,0.0962,open_ended,relay,team-neutral,team-neutral
Policy,Multi-language,0.0809,0.1105,0.0640,open_ended,synthesis,team-neutral,team-neutral
Policy,Distributed,0.1385,0.1105,0.0567,open_ended,synthesis,team-neutral,team-neutral
Policy,Code Review,-0.0139,0.1105,0.0562,open_ended,relay,team-neutral,team-neutral
Policy,Testing,0.4649,0.1105,0.0501,open_ended,open_ended,team-neutral,team-neutral
Policy,Long-Horizon,,0.1105,0.0467,open_ended,synthesis,team-neutral,team-neutral
Policy,Specification,0.3526,0.1105,0.0307,open_ended,synthesis,team-neutral,team-neutral
Policy,Information Retrieval,-0.0669,0.1105,0.0087,open_ended,discovery,team-neutral,team-neutral
Policy,Operations,0.1835,0.1105,0.0011,open_ended,relay,team-neutral,team-neutral
Policy,Adversarial,0.1634,0.1105,-0.0016,open_ended,adversarial,team-neutral,team-neutral
Policy,Negotiation,0.3274,0.1105,-0.0232,open_ended,open_ended,team-neutral,team-neutral
Policy,Security,0.2053,0.1105,-0.0286,open_ended,adversarial,team-neutral,team-neutral
Policy,Cross-System,-0.2531,0.1105,-0.0543,open_ended,adversarial,team-neutral,team-neutral
Policy,Pipeline,0.2606,0.1105,-0.0658,open_ended,relay,team-neutral,team-neutral
Policy,Incident Response,0.3761,0.1105,-0.0796,open_ended,discovery,team-neutral,team-neutral
Policy,Data Engineering,0.1575,0.1105,-0.0928,open_ended,relay,team-neutral,team-neutral
Policy,Software Eng.,0.5338,0.1105,-0.1203,open_ended,relay,team-neutral,team-neutral
Policy,Integration,,0.1105,-0.3000,open_ended,relay,team-neutral,team-negative
Policy,DB,,0.1105,-0.5000,open_ended,relay,team-neutral,team-negative
Policy,DEVOPS,,0.1105,-0.7500,open_ended,relay,team-neutral,team-negative
Policy,API,,0.1105,-1.0000,open_ended,relay,team-neutral,team-negative
GH,DS,,0.0962,0.7267,relay,relay,team-neutral,team-positive
GH,ML,,0.0962,0.5462,relay,relay,team-neutral,team-moderate
GH,Policy,-0.9861,0.0962,0.1105,relay,open_ended,team-neutral,team-neutral
GH,GH,1.0000,0.0962,0.0962,relay,relay,team-neutral,team-neutral
GH,Multi-language,-0.8612,0.0962,0.0640,relay,synthesis,team-neutral,team-neutral
GH,Distributed,0.3689,0.0962,0.0567,relay,synthesis,team-neutral,team-neutral
GH,Code Review,0.3910,0.0962,0.0562,relay,relay,team-neutral,team-neutral
GH,Testing,0.6834,0.0962,0.0501,relay,open_ended,team-neutral,team-neutral
GH,Long-Horizon,,0.0962,0.0467,relay,synthesis,team-neutral,team-neutral
GH,Specification,-0.3527,0.0962,0.0307,relay,synthesis,team-neutral,team-neutral
GH,Information Retrieval,-0.8579,0.0962,0.0087,relay,discovery,team-neutral,team-neutral
GH,Operations,-0.3872,0.0962,0.0011,relay,relay,team-neutral,team-neutral
GH,Adversarial,-0.9553,0.0962,-0.0016,relay,adversarial,team-neutral,team-neutral
GH,Negotiation,0.5357,0.0962,-0.0232,relay,open_ended,team-neutral,team-neutral
GH,Security,0.7683,0.0962,-0.0286,relay,adversarial,team-neutral,team-neutral
GH,Cross-System,0.5312,0.0962,-0.0543,relay,adversarial,team-neutral,team-neutral
GH,Pipeline,-0.9403,0.0962,-0.0658,relay,relay,team-neutral,team-neutral
GH,Incident Response,-0.8178,0.0962,-0.0796,relay,discovery,team-neutral,team-neutral
GH,Data Engineering,0.8322,0.0962,-0.0928,relay,relay,team-neutral,team-neutral
GH,Software Eng.,,0.0962,-0.1203,relay,relay,team-neutral,team-neutral
GH,Integration,,0.0962,-0.3000,relay,relay,team-neutral,team-negative
GH,DB,,0.0962,-0.5000,relay,relay,team-neutral,team-negative
GH,DEVOPS,,0.0962,-0.7500,relay,relay,team-neutral,team-negative
GH,API,,0.0962,-1.0000,relay,relay,team-neutral,team-negative
Multi-language,DS,,0.0640,0.7267,synthesis,relay,team-neutral,team-positive
Multi-language,ML,,0.0640,0.5462,synthesis,relay,team-neutral,team-moderate
Multi-language,Policy,0.0809,0.0640,0.1105,synthesis,open_ended,team-neutral,team-neutral
Multi-language,GH,-0.8612,0.0640,0.0962,synthesis,relay,team-neutral,team-neutral
Multi-language,Multi-language,1.0000,0.0640,0.0640,synthesis,synthesis,team-neutral,team-neutral
Multi-language,Distributed,-0.0348,0.0640,0.0567,synthesis,synthesis,team-neutral,team-neutral
Multi-language,Code Review,0.1917,0.0640,0.0562,synthesis,relay,team-neutral,team-neutral
Multi-language,Testing,0.3071,0.0640,0.0501,synthesis,open_ended,team-neutral,team-neutral
Multi-language,Long-Horizon,,0.0640,0.0467,synthesis,synthesis,team-neutral,team-neutral
Multi-language,Specification,0.2020,0.0640,0.0307,synthesis,synthesis,team-neutral,team-neutral
Multi-language,Information Retrieval,-0.2647,0.0640,0.0087,synthesis,discovery,team-neutral,team-neutral
Multi-language,Operations,-0.0759,0.0640,0.0011,synthesis,relay,team-neutral,team-neutral
Multi-language,Adversarial,0.2425,0.0640,-0.0016,synthesis,adversarial,team-neutral,team-neutral
Multi-language,Negotiation,0.2327,0.0640,-0.0232,synthesis,open_ended,team-neutral,team-neutral
Multi-language,Security,-0.1506,0.0640,-0.0286,synthesis,adversarial,team-neutral,team-neutral
Multi-language,Cross-System,0.0112,0.0640,-0.0543,synthesis,adversarial,team-neutral,team-neutral
Multi-language,Pipeline,-0.1324,0.0640,-0.0658,synthesis,relay,team-neutral,team-neutral
Multi-language,Incident Response,0.0754,0.0640,-0.0796,synthesis,discovery,team-neutral,team-neutral
Multi-language,Data Engineering,-0.1507,0.0640,-0.0928,synthesis,relay,team-neutral,team-neutral
Multi-language,Software Eng.,-0.8904,0.0640,-0.1203,synthesis,relay,team-neutral,team-neutral
Multi-language,Integration,,0.0640,-0.3000,synthesis,relay,team-neutral,team-negative
Multi-language,DB,,0.0640,-0.5000,synthesis,relay,team-neutral,team-negative
Multi-language,DEVOPS,,0.0640,-0.7500,synthesis,relay,team-neutral,team-negative
Multi-language,API,,0.0640,-1.0000,synthesis,relay,team-neutral,team-negative
Distributed,DS,,0.0567,0.7267,synthesis,relay,team-neutral,team-positive
Distributed,ML,,0.0567,0.5462,synthesis,relay,team-neutral,team-moderate
Distributed,Policy,0.1385,0.0567,0.1105,synthesis,open_ended,team-neutral,team-neutral
Distributed,GH,0.3689,0.0567,0.0962,synthesis,relay,team-neutral,team-neutral
Distributed,Multi-language,-0.0348,0.0567,0.0640,synthesis,synthesis,team-neutral,team-neutral
Distributed,Distributed,1.0000,0.0567,0.0567,synthesis,synthesis,team-neutral,team-neutral
Distributed,Code Review,0.3865,0.0567,0.0562,synthesis,relay,team-neutral,team-neutral
Distributed,Testing,0.3359,0.0567,0.0501,synthesis,open_ended,team-neutral,team-neutral
Distributed,Long-Horizon,,0.0567,0.0467,synthesis,synthesis,team-neutral,team-neutral
Distributed,Specification,-0.3792,0.0567,0.0307,synthesis,synthesis,team-neutral,team-neutral
Distributed,Information Retrieval,0.2600,0.0567,0.0087,synthesis,discovery,team-neutral,team-neutral
Distributed,Operations,0.5287,0.0567,0.0011,synthesis,relay,team-neutral,team-neutral
Distributed,Adversarial,0.1419,0.0567,-0.0016,synthesis,adversarial,team-neutral,team-neutral
Distributed,Negotiation,0.2709,0.0567,-0.0232,synthesis,open_ended,team-neutral,team-neutral
Distributed,Security,0.3132,0.0567,-0.0286,synthesis,adversarial,team-neutral,team-neutral
Distributed,Cross-System,0.2194,0.0567,-0.0543,synthesis,adversarial,team-neutral,team-neutral
Distributed,Pipeline,0.2308,0.0567,-0.0658,synthesis,relay,team-neutral,team-neutral
Distributed,Incident Response,0.3824,0.0567,-0.0796,synthesis,discovery,team-neutral,team-neutral
Distributed,Data Engineering,0.5357,0.0567,-0.0928,synthesis,relay,team-neutral,team-neutral
Distributed,Software Eng.,0.9350,0.0567,-0.1203,synthesis,relay,team-neutral,team-neutral
Distributed,Integration,,0.0567,-0.3000,synthesis,relay,team-neutral,team-negative
Distributed,DB,,0.0567,-0.5000,synthesis,relay,team-neutral,team-negative
Distributed,DEVOPS,,0.0567,-0.7500,synthesis,relay,team-neutral,team-negative
Distributed,API,,0.0567,-1.0000,synthesis,relay,team-neutral,team-negative
Code Review,DS,,0.0562,0.7267,relay,relay,team-neutral,team-positive
Code Review,ML,,0.0562,0.5462,relay,relay,team-neutral,team-moderate
Code Review,Policy,-0.0139,0.0562,0.1105,relay,open_ended,team-neutral,team-neutral
Code Review,GH,0.3910,0.0562,0.0962,relay,relay,team-neutral,team-neutral
Code Review,Multi-language,0.1917,0.0562,0.0640,relay,synthesis,team-neutral,team-neutral
Code Review,Distributed,0.3865,0.0562,0.0567,relay,synthesis,team-neutral,team-neutral
Code Review,Code Review,1.0000,0.0562,0.0562,relay,relay,team-neutral,team-neutral
Code Review,Testing,0.4214,0.0562,0.0501,relay,open_ended,team-neutral,team-neutral
Code Review,Long-Horizon,,0.0562,0.0467,relay,synthesis,team-neutral,team-neutral
Code Review,Specification,-0.2893,0.0562,0.0307,relay,synthesis,team-neutral,team-neutral
Code Review,Information Retrieval,0.0938,0.0562,0.0087,relay,discovery,team-neutral,team-neutral
Code Review,Operations,-0.0301,0.0562,0.0011,relay,relay,team-neutral,team-neutral
Code Review,Adversarial,0.2934,0.0562,-0.0016,relay,adversarial,team-neutral,team-neutral
Code Review,Negotiation,0.4110,0.0562,-0.0232,relay,open_ended,team-neutral,team-neutral
Code Review,Security,0.5639,0.0562,-0.0286,relay,adversarial,team-neutral,team-neutral
Code Review,Cross-System,0.5754,0.0562,-0.0543,relay,adversarial,team-neutral,team-neutral
Code Review,Pipeline,0.1235,0.0562,-0.0658,relay,relay,team-neutral,team-neutral
Code Review,Incident Response,0.3074,0.0562,-0.0796,relay,discovery,team-neutral,team-neutral
Code Review,Data Engineering,0.2790,0.0562,-0.0928,relay,relay,team-neutral,team-neutral
Code Review,Software Eng.,0.8135,0.0562,-0.1203,relay,relay,team-neutral,team-neutral
Code Review,Integration,,0.0562,-0.3000,relay,relay,team-neutral,team-negative
Code Review,DB,,0.0562,-0.5000,relay,relay,team-neutral,team-negative
Code Review,DEVOPS,,0.0562,-0.7500,relay,relay,team-neutral,team-negative
Code Review,API,,0.0562,-1.0000,relay,relay,team-neutral,team-negative
Testing,DS,,0.0501,0.7267,open_ended,relay,team-neutral,team-positive
Testing,ML,,0.0501,0.5462,open_ended,relay,team-neutral,team-moderate
Testing,Policy,0.4649,0.0501,0.1105,open_ended,open_ended,team-neutral,team-neutral
Testing,GH,0.6834,0.0501,0.0962,open_ended,relay,team-neutral,team-neutral
Testing,Multi-language,0.3071,0.0501,0.0640,open_ended,synthesis,team-neutral,team-neutral
Testing,Distributed,0.3359,0.0501,0.0567,open_ended,synthesis,team-neutral,team-neutral
Testing,Code Review,0.4214,0.0501,0.0562,open_ended,relay,team-neutral,team-neutral
Testing,Testing,1.0000,0.0501,0.0501,open_ended,open_ended,team-neutral,team-neutral
Testing,Long-Horizon,,0.0501,0.0467,open_ended,synthesis,team-neutral,team-neutral
Testing,Specification,0.2695,0.0501,0.0307,open_ended,synthesis,team-neutral,team-neutral
Testing,Information Retrieval,0.0156,0.0501,0.0087,open_ended,discovery,team-neutral,team-neutral
Testing,Operations,0.2965,0.0501,0.0011,open_ended,relay,team-neutral,team-neutral
Testing,Adversarial,0.5170,0.0501,-0.0016,open_ended,adversarial,team-neutral,team-neutral
Testing,Negotiation,0.5151,0.0501,-0.0232,open_ended,open_ended,team-neutral,team-neutral
Testing,Security,0.4577,0.0501,-0.0286,open_ended,adversarial,team-neutral,team-neutral
Testing,Cross-System,0.0065,0.0501,-0.0543,open_ended,adversarial,team-neutral,team-neutral
Testing,Pipeline,0.4741,0.0501,-0.0658,open_ended,relay,team-neutral,team-neutral
Testing,Incident Response,0.7596,0.0501,-0.0796,open_ended,discovery,team-neutral,team-neutral
Testing,Data Engineering,0.3712,0.0501,-0.0928,open_ended,relay,team-neutral,team-neutral
Testing,Software Eng.,-0.7011,0.0501,-0.1203,open_ended,relay,team-neutral,team-neutral
Testing,Integration,,0.0501,-0.3000,open_ended,relay,team-neutral,team-negative
Testing,DB,,0.0501,-0.5000,open_ended,relay,team-neutral,team-negative
Testing,DEVOPS,,0.0501,-0.7500,open_ended,relay,team-neutral,team-negative
Testing,API,,0.0501,-1.0000,open_ended,relay,team-neutral,team-negative
Long-Horizon,DS,,0.0467,0.7267,synthesis,relay,team-neutral,team-positive
Long-Horizon,ML,,0.0467,0.5462,synthesis,relay,team-neutral,team-moderate
Long-Horizon,Policy,,0.0467,0.1105,synthesis,open_ended,team-neutral,team-neutral
Long-Horizon,GH,,0.0467,0.0962,synthesis,relay,team-neutral,team-neutral
Long-Horizon,Multi-language,,0.0467,0.0640,synthesis,synthesis,team-neutral,team-neutral
Long-Horizon,Distributed,,0.0467,0.0567,synthesis,synthesis,team-neutral,team-neutral
Long-Horizon,Code Review,,0.0467,0.0562,synthesis,relay,team-neutral,team-neutral
Long-Horizon,Testing,,0.0467,0.0501,synthesis,open_ended,team-neutral,team-neutral
Long-Horizon,Long-Horizon,1.0000,0.0467,0.0467,synthesis,synthesis,team-neutral,team-neutral
Long-Horizon,Specification,,0.0467,0.0307,synthesis,synthesis,team-neutral,team-neutral
Long-Horizon,Information Retrieval,,0.0467,0.0087,synthesis,discovery,team-neutral,team-neutral
Long-Horizon,Operations,,0.0467,0.0011,synthesis,relay,team-neutral,team-neutral
Long-Horizon,Adversarial,,0.0467,-0.0016,synthesis,adversarial,team-neutral,team-neutral
Long-Horizon,Negotiation,,0.0467,-0.0232,synthesis,open_ended,team-neutral,team-neutral
Long-Horizon,Security,,0.0467,-0.0286,synthesis,adversarial,team-neutral,team-neutral
Long-Horizon,Cross-System,,0.0467,-0.0543,synthesis,adversarial,team-neutral,team-neutral
Long-Horizon,Pipeline,,0.0467,-0.0658,synthesis,relay,team-neutral,team-neutral
Long-Horizon,Incident Response,,0.0467,-0.0796,synthesis,discovery,team-neutral,team-neutral
Long-Horizon,Data Engineering,,0.0467,-0.0928,synthesis,relay,team-neutral,team-neutral
Long-Horizon,Software Eng.,,0.0467,-0.1203,synthesis,relay,team-neutral,team-neutral
Long-Horizon,Integration,,0.0467,-0.3000,synthesis,relay,team-neutral,team-negative
Long-Horizon,DB,,0.0467,-0.5000,synthesis,relay,team-neutral,team-negative
Long-Horizon,DEVOPS,,0.0467,-0.7500,synthesis,relay,team-neutral,team-negative
Long-Horizon,API,,0.0467,-1.0000,synthesis,relay,team-neutral,team-negative
Specification,DS,,0.0307,0.7267,synthesis,relay,team-neutral,team-positive
Specification,ML,,0.0307,0.5462,synthesis,relay,team-neutral,team-moderate
Specification,Policy,0.3526,0.0307,0.1105,synthesis,open_ended,team-neutral,team-neutral
Specification,GH,-0.3527,0.0307,0.0962,synthesis,relay,team-neutral,team-neutral
Specification,Multi-language,0.2020,0.0307,0.0640,synthesis,synthesis,team-neutral,team-neutral
Specification,Distributed,-0.3792,0.0307,0.0567,synthesis,synthesis,team-neutral,team-neutral
Specification,Code Review,-0.2893,0.0307,0.0562,synthesis,relay,team-neutral,team-neutral
Specification,Testing,0.2695,0.0307,0.0501,synthesis,open_ended,team-neutral,team-neutral
Specification,Long-Horizon,,0.0307,0.0467,synthesis,synthesis,team-neutral,team-neutral
Specification,Specification,1.0000,0.0307,0.0307,synthesis,synthesis,team-neutral,team-neutral
Specification,Information Retrieval,-0.2749,0.0307,0.0087,synthesis,discovery,team-neutral,team-neutral
Specification,Operations,0.0394,0.0307,0.0011,synthesis,relay,team-neutral,team-neutral
Specification,Adversarial,0.3580,0.0307,-0.0016,synthesis,adversarial,team-neutral,team-neutral
Specification,Negotiation,-0.2213,0.0307,-0.0232,synthesis,open_ended,team-neutral,team-neutral
Specification,Security,0.1579,0.0307,-0.0286,synthesis,adversarial,team-neutral,team-neutral
Specification,Cross-System,-0.1881,0.0307,-0.0543,synthesis,adversarial,team-neutral,team-neutral
Specification,Pipeline,0.1617,0.0307,-0.0658,synthesis,relay,team-neutral,team-neutral
Specification,Incident Response,0.0419,0.0307,-0.0796,synthesis,discovery,team-neutral,team-neutral
Specification,Data Engineering,0.0966,0.0307,-0.0928,synthesis,relay,team-neutral,team-neutral
Specification,Software Eng.,-0.9105,0.0307,-0.1203,synthesis,relay,team-neutral,team-neutral
Specification,Integration,,0.0307,-0.3000,synthesis,relay,team-neutral,team-negative
Specification,DB,,0.0307,-0.5000,synthesis,relay,team-neutral,team-negative
Specification,DEVOPS,,0.0307,-0.7500,synthesis,relay,team-neutral,team-negative
Specification,API,,0.0307,-1.0000,synthesis,relay,team-neutral,team-negative
Information Retrieval,DS,,0.0087,0.7267,discovery,relay,team-neutral,team-positive
Information Retrieval,ML,,0.0087,0.5462,discovery,relay,team-neutral,team-moderate
Information Retrieval,Policy,-0.0669,0.0087,0.1105,discovery,open_ended,team-neutral,team-neutral
Information Retrieval,GH,-0.8579,0.0087,0.0962,discovery,relay,team-neutral,team-neutral
Information Retrieval,Multi-language,-0.2647,0.0087,0.0640,discovery,synthesis,team-neutral,team-neutral
Information Retrieval,Distributed,0.2600,0.0087,0.0567,discovery,synthesis,team-neutral,team-neutral
Information Retrieval,Code Review,0.0938,0.0087,0.0562,discovery,relay,team-neutral,team-neutral
Information Retrieval,Testing,0.0156,0.0087,0.0501,discovery,open_ended,team-neutral,team-neutral
Information Retrieval,Long-Horizon,,0.0087,0.0467,discovery,synthesis,team-neutral,team-neutral
Information Retrieval,Specification,-0.2749,0.0087,0.0307,discovery,synthesis,team-neutral,team-neutral
Information Retrieval,Information Retrieval,1.0000,0.0087,0.0087,discovery,discovery,team-neutral,team-neutral
Information Retrieval,Operations,0.2623,0.0087,0.0011,discovery,relay,team-neutral,team-neutral
Information Retrieval,Adversarial,0.2396,0.0087,-0.0016,discovery,adversarial,team-neutral,team-neutral
Information Retrieval,Negotiation,-0.0989,0.0087,-0.0232,discovery,open_ended,team-neutral,team-neutral
Information Retrieval,Security,0.0126,0.0087,-0.0286,discovery,adversarial,team-neutral,team-neutral
Information Retrieval,Cross-System,-0.0329,0.0087,-0.0543,discovery,adversarial,team-neutral,team-neutral
Information Retrieval,Pipeline,0.3216,0.0087,-0.0658,discovery,relay,team-neutral,team-neutral
Information Retrieval,Incident Response,0.2629,0.0087,-0.0796,discovery,discovery,team-neutral,team-neutral
Information Retrieval,Data Engineering,0.2224,0.0087,-0.0928,discovery,relay,team-neutral,team-neutral
Information Retrieval,Software Eng.,0.8904,0.0087,-0.1203,discovery,relay,team-neutral,team-neutral
Information Retrieval,Integration,,0.0087,-0.3000,discovery,relay,team-neutral,team-negative
Information Retrieval,DB,,0.0087,-0.5000,discovery,relay,team-neutral,team-negative
Information Retrieval,DEVOPS,,0.0087,-0.7500,discovery,relay,team-neutral,team-negative
Information Retrieval,API,,0.0087,-1.0000,discovery,relay,team-neutral,team-negative
Operations,DS,,0.0011,0.7267,relay,relay,team-neutral,team-positive
Operations,ML,,0.0011,0.5462,relay,relay,team-neutral,team-moderate
Operations,Policy,0.1835,0.0011,0.1105,relay,open_ended,team-neutral,team-neutral
Operations,GH,-0.3872,0.0011,0.0962,relay,relay,team-neutral,team-neutral
Operations,Multi-language,-0.0759,0.0011,0.0640,relay,synthesis,team-neutral,team-neutral
Operations,Distributed,0.5287,0.0011,0.0567,relay,synthesis,team-neutral,team-neutral
Operations,Code Review,-0.0301,0.0011,0.0562,relay,relay,team-neutral,team-neutral
Operations,Testing,0.2965,0.0011,0.0501,relay,open_ended,team-neutral,team-neutral
Operations,Long-Horizon,,0.0011,0.0467,relay,synthesis,team-neutral,team-neutral
Operations,Specification,0.0394,0.0011,0.0307,relay,synthesis,team-neutral,team-neutral
Operations,Information Retrieval,0.2623,0.0011,0.0087,relay,discovery,team-neutral,team-neutral
Operations,Operations,1.0000,0.0011,0.0011,relay,relay,team-neutral,team-neutral
Operations,Adversarial,0.4486,0.0011,-0.0016,relay,adversarial,team-neutral,team-neutral
Operations,Negotiation,0.0415,0.0011,-0.0232,relay,open_ended,team-neutral,team-neutral
Operations,Security,-0.0124,0.0011,-0.0286,relay,adversarial,team-neutral,team-neutral
Operations,Cross-System,-0.0927,0.0011,-0.0543,relay,adversarial,team-neutral,team-neutral
Operations,Pipeline,0.2823,0.0011,-0.0658,relay,relay,team-neutral,team-neutral
Operations,Incident Response,0.3230,0.0011,-0.0796,relay,discovery,team-neutral,team-neutral
Operations,Data Engineering,0.2811,0.0011,-0.0928,relay,relay,team-neutral,team-neutral
Operations,Software Eng.,0.8506,0.0011,-0.1203,relay,relay,team-neutral,team-neutral
Operations,Integration,,0.0011,-0.3000,relay,relay,team-neutral,team-negative
Operations,DB,,0.0011,-0.5000,relay,relay,team-neutral,team-negative
Operations,DEVOPS,,0.0011,-0.7500,relay,relay,team-neutral,team-negative
Operations,API,,0.0011,-1.0000,relay,relay,team-neutral,team-negative
Adversarial,DS,,-0.0016,0.7267,adversarial,relay,team-neutral,team-positive
Adversarial,ML,,-0.0016,0.5462,adversarial,relay,team-neutral,team-moderate
Adversarial,Policy,0.1634,-0.0016,0.1105,adversarial,open_ended,team-neutral,team-neutral
Adversarial,GH,-0.9553,-0.0016,0.0962,adversarial,relay,team-neutral,team-neutral
Adversarial,Multi-language,0.2425,-0.0016,0.0640,adversarial,synthesis,team-neutral,team-neutral
Adversarial,Distributed,0.1419,-0.0016,0.0567,adversarial,synthesis,team-neutral,team-neutral
Adversarial,Code Review,0.2934,-0.0016,0.0562,adversarial,relay,team-neutral,team-neutral
Adversarial,Testing,0.5170,-0.0016,0.0501,adversarial,open_ended,team-neutral,team-neutral
Adversarial,Long-Horizon,,-0.0016,0.0467,adversarial,synthesis,team-neutral,team-neutral
Adversarial,Specification,0.3580,-0.0016,0.0307,adversarial,synthesis,team-neutral,team-neutral
Adversarial,Information Retrieval,0.2396,-0.0016,0.0087,adversarial,discovery,team-neutral,team-neutral
Adversarial,Operations,0.4486,-0.0016,0.0011,adversarial,relay,team-neutral,team-neutral
Adversarial,Adversarial,1.0000,-0.0016,-0.0016,adversarial,adversarial,team-neutral,team-neutral
Adversarial,Negotiation,0.3984,-0.0016,-0.0232,adversarial,open_ended,team-neutral,team-neutral
Adversarial,Security,0.3045,-0.0016,-0.0286,adversarial,adversarial,team-neutral,team-neutral
Adversarial,Cross-System,0.0526,-0.0016,-0.0543,adversarial,adversarial,team-neutral,team-neutral
Adversarial,Pipeline,0.4641,-0.0016,-0.0658,adversarial,relay,team-neutral,team-neutral
Adversarial,Incident Response,0.3657,-0.0016,-0.0796,adversarial,discovery,team-neutral,team-neutral
Adversarial,Data Engineering,0.3789,-0.0016,-0.0928,adversarial,relay,team-neutral,team-neutral
Adversarial,Software Eng.,0.9594,-0.0016,-0.1203,adversarial,relay,team-neutral,team-neutral
Adversarial,Integration,,-0.0016,-0.3000,adversarial,relay,team-neutral,team-negative
Adversarial,DB,,-0.0016,-0.5000,adversarial,relay,team-neutral,team-negative
Adversarial,DEVOPS,,-0.0016,-0.7500,adversarial,relay,team-neutral,team-negative
Adversarial,API,,-0.0016,-1.0000,adversarial,relay,team-neutral,team-negative
Negotiation,DS,,-0.0232,0.7267,open_ended,relay,team-neutral,team-positive
Negotiation,ML,,-0.0232,0.5462,open_ended,relay,team-neutral,team-moderate
Negotiation,Policy,0.3274,-0.0232,0.1105,open_ended,open_ended,team-neutral,team-neutral
Negotiation,GH,0.5357,-0.0232,0.0962,open_ended,relay,team-neutral,team-neutral
Negotiation,Multi-language,0.2327,-0.0232,0.0640,open_ended,synthesis,team-neutral,team-neutral
Negotiation,Distributed,0.2709,-0.0232,0.0567,open_ended,synthesis,team-neutral,team-neutral
